Date,Open,High,Low,Close,Adj Close,Volume
2020-04-29,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-04-30,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-01,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-04,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-05,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-06,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-07,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-08,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-11,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-12,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-13,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-14,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-15,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-18,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-19,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-20,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-21,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-22,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-25,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-26,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-27,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-28,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-05-29,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-06-01,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-06-02,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-06-03,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-06-04,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-06-05,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-06-08,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-06-09,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-06-10,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-06-11,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-06-12,3411.760010,3411.760010,3411.760010,3345.899902,3345.899902,0
2020-06-15,3276.669922,3285.449951,3251.989990,3276.669922,3276.669922,0
2020-06-16,3295.850098,3295.850098,3248.360107,3295.850098,3295.850098,0
2020-06-17,3265.120117,3294.820068,3242.120117,3265.120117,3265.120117,0
2020-06-18,3294.820068,3294.820068,3242.120117,3294.820068,3294.820068,0
2020-06-19,3259.050049,3281.199951,3244.649902,3259.050049,3259.050049,0
2020-06-22,3284.959961,3284.959961,3255.179932,3284.959961,3284.959961,0
2020-06-23,3307.219971,3307.219971,3264.280029,3307.219971,3307.219971,0
2020-06-24,3305.649902,3305.649902,3259.570068,3305.649902,3305.649902,0
2020-06-25,3286.689941,3311.500000,3259.570068,3286.689941,3286.689941,0
2020-06-26,3300.030029,3300.030029,3265.500000,3300.030029,3300.030029,0
2020-06-29,3294.310059,3294.310059,3266.169922,3294.310059,3294.310059,0
2020-06-30,3291.219971,3291.219971,3276.850098,3291.219971,3291.219971,0
2020-07-01,3319.250000,3319.729980,3278.459961,3319.250000,3319.250000,0
